oldidentifierfrompreviousfile,fid,src_agency,latitude,longitude,date,sizeha,cause,protzone,ecoz_name,wildlat1,coordinates,Unnamed: 0_y,coordinates1,climlatitude,climlongitude,firelat_radians,firelong_radians,climlat_radians,climlong_radians,distance_km
48324,329355,QC,50.2788,-64.6816,27-07-2019,0,H,nordique,Boreal Shield East,"(50, 55]","50.2788,-64.6816",160,"50.2833,-64.7833",50.2833,-64.7833,0.877530604,-1.128906885,0.877609144,-1.130681885,7.239153108
48325,329356,QC,51.4809,-64.7384,27-07-2019,137.9,L,nordique,Boreal Shield East,"(50, 55]","51.4809,-64.7384",113,"51.8672,-63.2836",51.8672,-63.2836,0.898511207,-1.129898232,0.905253414,-1.104507183,109.0553784
48326,329357,QC,51.2545,-64.8448,27-07-2019,1178.7,L,nordique,Boreal Shield East,"(50, 55]","51.2545,-64.8448",160,"50.2833,-64.7833",50.2833,-64.7833,0.894559781,-1.131755263,0.877609144,-1.130681885,108.0112159
48327,329358,QC,51.1688,-64.7357,27-07-2019,34.8,L,nordique,Boreal Shield East,"(50, 55]","51.1688,-64.7357",160,"50.2833,-64.7833",50.2833,-64.7833,0.893064034,-1.129851109,0.877609144,-1.130681885,98.4582364
48328,329359,QC,50.204,-66.0578,15-05-2018,0,H,Intensive,Boreal Shield East,"(50, 55]","50.204,-66.0578",166,"50.2167,-66.25",50.2167,-66.25,0.876225098,-1.152926107,0.876446754,-1.156280629,13.74131728
48329,329360,QC,50.6716,-66.1876,07-07-2018,0.1,L,Nordique,Boreal Shield East,"(50, 55]","50.6716,-66.1876",172,"50.2233,-66.2656",50.2233,-66.2656,0.884386257,-1.155191544,0.876561946,-1.156552901,50.12221337
48330,329361,QC,50.8743,-65.9419,21-07-2018,9.1,L,Nordique,Boreal Shield East,"(50, 55]","50.8743,-65.9419",172,"50.2233,-66.2656",50.2233,-66.2656,0.88792404,-1.15090327,0.876561946,-1.156552901,75.8672132
48331,329362,QC,50.2808,-62.6124,01-09-2018,0,H,Nordique,Boreal Shield East,"(50, 55]","50.2808,-62.6124",136,"50.19,-61.8108",50.19,-61.8108,0.877565511,-1.092792533,0.875980752,-1.078801973,57.86356604
48332,329363,QC,50.3613,-64.1791,26-05-2017,3,H,Nordique,Boreal Shield East,"(50, 55]","50.3613,-64.1791",92,"50.2714,-64.2264",50.2714,-64.2264,0.878970501,-1.120136606,0.87740145,-1.120962147,10.53888583
48333,329364,QC,50.5687,-63.4187,13-06-2017,0.2,L,Nordique,Boreal Shield East,"(50, 55]","50.5687,-63.4187",92,"50.2714,-64.2264",50.2714,-64.2264,0.882590313,-1.106865122,0.87740145,-1.120962147,66.04469883
48334,329392,QC,50.889,-73.248,28-06-2018,58.6,L,Nordique,Boreal Shield East,"(50, 55]","50.889,-73.248",28,"49.7772,-74.5303",49.7772,-74.5303,0.888180603,-1.278418771,0.868776032,-1.300799127,153.41497
48335,329402,QC,49.9817,-76.5261,28-05-2019,0,H,Intensive,Boreal Shield East,"(45, 50]","49.9817,-76.5261",115,"49.7578,-77.7931",49.7578,-77.7931,0.872345231,-1.335632409,0.868437439,-1.35774573,94.09435991
