,FID,SRC_AGENCY,LATITUDE,LONGITUDE,REP_DATE,SIZE_HA,CAUSE,PROTZONE,ECOZ_NAME,FireLocation,WeatherLocation,x,y,MAX_REL_HUMIDITY,LOCAL_DAY,ID,MEAN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,LOCAL_MONTH,TOTAL_RAIN,STATION_NAME,SPEED_MAX_GUST,TOTAL_PRECIPITATION,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,LOCAL_YEAR,TOTAL_SNOW,MIN_TEMPERATURE,SNOW_ON_GROUND,Class
225,370774,QC,47.4781,-78.2536,2020-05-22,0.0,L,intensive,Boreal Shield East,"(47.4781, -78.2536)","48.053333333333335,-77.78277777777778",-77.78277777777778,48.053333333333335,91.8,22.0,7098605.2020.5.22,18.846666666666668,59.8,QC,5.0,0.0,VAL D'OR A,37.0,0.0,7098605,14.3,2020.0,0.0,9.8,0.0,0
226,370791,QC,53.019,-77.4059,2020-05-28,0.0,L,nordique,Taiga Shield East,"(53.019, -77.4059)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,28.0,7093716.2020.5.28,17.1,59.8,QC,5.0,0.0,LA GRANDE RIVIERE A,37.0,0.0,7093716,22.7,2020.0,0.0,-4.1,0.0,0
227,370792,QC,53.1542,-77.0434,2020-05-28,0.0,L,nordique,Taiga Shield East,"(53.1542, -77.0434)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,28.0,7093716.2020.5.28,17.1,59.8,QC,5.0,0.0,LA GRANDE RIVIERE A,37.0,0.0,7093716,22.7,2020.0,0.0,-4.1,0.0,0
228,370793,QC,53.2361,-77.29519999999998,2020-05-28,0.0,L,nordique,Taiga Shield East,"(53.2361, -77.29519999999998)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,28.0,7093716.2020.5.28,17.1,59.8,QC,5.0,0.0,LA GRANDE RIVIERE A,37.0,0.0,7093716,22.7,2020.0,0.0,-4.1,0.0,0
229,370800,QC,52.8739,-68.2114,2020-05-29,0.0,L,nordique,Taiga Shield East,"(52.8739, -68.2114)","54.80252,-66.80445333333333",-66.80445333333333,54.80252,91.1,29.0,7117824.2020.5.29,19.466666666666665,59.8,QC,5.0,0.0,SCHEFFERVILLE COTE-NORD,37.0,0.0,7117824,7.4,2020.0,0.0,-4.1,0.0,0
230,370803,QC,49.3133,-69.8008,2020-05-29,0.0,L,intensive,Boreal Shield East,"(49.3133, -69.8008)","48.25805555555556,-69.52277777777778",-69.52277777777778,48.25805555555556,91.1,29.0,7042845.2020.5.29,21.2,44.0,QC,5.0,0.0,GRANDES-BERGERONNES,52.0,0.0,7042845,14.0,2020.0,0.0,-4.1,0.0,0
231,370816,QC,53.0025,-77.4094,2020-05-28,0.0,L,nordique,Taiga Shield East,"(53.0025, -77.4094)","53.625277777777775,-77.70416666666667",-77.70416666666667,53.625277777777775,91.1,28.0,7093716.2020.5.28,17.1,59.8,QC,5.0,0.0,LA GRANDE RIVIERE A,37.0,0.0,7093716,22.7,2020.0,0.0,-4.1,0.0,0
232,370826,QC,50.6287,-62.976,2020-06-13,0.0,L,nordique,Boreal Shield East,"(50.6287, -62.976)","50.19000111111111,-61.81083361111112",-61.81083361111112,50.19000111111111,91.1,13.0,7045401.2020.6.13,16.673333333333332,59.8,QC,6.0,0.0,NATASHQUAN AIRPORT,43.0,0.0,7045401,13.9,2020.0,0.0,4.9,0.0,0
233,370831,QC,51.2023,-58.7312,2020-06-13,0.0,L,nordique,Boreal Shield East,"(51.2023, -58.7312)","50.465,-59.63944444444444",-59.63944444444444,50.465,97.5016835016835,13.0,7041382.2020.6.13,5.233333333333333,63.50841750841751,QC,6.0,0.0,CHEVERY,35.0,0.0,7041382,13.0,2020.0,0.0,-4.1,0.0,0
234,370832,QC,51.3653,-58.6529,2020-06-13,0.0,L,nordique,Boreal Shield East,"(51.3653, -58.6529)","50.465,-59.63944444444444",-59.63944444444444,50.465,97.5016835016835,13.0,7041382.2020.6.13,5.233333333333333,63.50841750841751,QC,6.0,0.0,CHEVERY,35.0,0.0,7041382,13.0,2020.0,0.0,-4.1,0.0,0
